Sum of Equipment Count,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1,2,3,4,5,6,7,8,10,10.15384615,11,12,15,18,21,27,31,33,42,45,48,52,75,528,(blank),Grand Total
Fire and Rescue,4,2,,8,,6,,,,,11,24,,18,,27,,,,,,,,,,100
Correction and Rehabilitation,3,2,6,,,,,8,10,,,,,,,,,,,,,,,,,29
General Services,2,,3,,10,,,,,,,,,,21,,31,,42,45,48,,,,,202
Environmental Protection,1,2,3,,,,,,,,,,15,18,,,,33,,,,,,,,72
Economic Development,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Community Use of Public Facilities,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Circuit Court,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Consumer Protection,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Health and Human Services,1,,,,5,,,,,,,,15,,,,,,,,,,75,,,96
(blank),1,,,,,,,,,10.15384615,,,,,,,,,,,,52,75,528,,666.1538462
Board of Elections,1,2,,,,,,,,,,,,,,,,,,,,,,,,3
Community Engagement Cluster,,2,,,,,7,8,,,,,,,,,,,,,,,,,,17
County Executives Office,,2,3,,,,,,,,,,,,,,,,,,,,,,,5
Grand Total,17,12,15,8,15,6,7,16,10,10.15384615,11,24,30,36,21,27,31,33,42,45,48,52,150,528,,1194.153846
